,anger,digust,fear,joy,sadness
0,0.0989391666667,0.0934736666667,0.106676666667,0.587469833333,0.0685013333333
1,0.171468596774,0.118284435484,0.0929463064516,0.293240032258,0.210956870968
2,0.144333555556,0.207766777778,0.101278666667,0.421770555556,0.122762444444
3,0.111583125,0.06293425,0.0440544166667,0.691849541667,0.116620833333
4,0.143280266667,0.0879505111111,0.104062077778,0.416027022222,0.163517866667
5,0.0888394615385,0.0785965384615,0.0361670769231,0.744944307692,0.0861773076923
6,0.151362,0.112916046512,0.102195732558,0.356311616279,0.20536602907
7,,,,,
8,0.12401497619,0.0787720714286,0.0985054047619,0.493261119048,0.187100238095
9,0.137402416667,0.0822928333333,0.0412285833333,0.660950083333,0.1162295
10,0.09343371875,0.07315634375,0.074359,0.47002209375,0.17793646875
11,0.153137512821,0.123624820513,0.0759963076923,0.456723435897,0.123882564103
12,0.162660684211,0.160479078947,0.0918781842105,0.377880631579,0.169618684211
13,0.133140254545,0.127742472727,0.0694578363636,0.408095818182,0.156333181818
14,0.141993347826,0.11563942029,0.0936965797101,0.37843884058,0.206845318841
15,0.094154675,0.0701287,0.078292675,0.526187825,0.1164755875
16,0.107795304878,0.0917446341463,0.0906017195122,0.47650147561,0.15915645122
17,0.18338575,0.03204875,0.04600775,0.49047025,0.199293
18,0.155781625,0.13534434375,0.0888819375,0.3560756875,0.1986174375
19,0.104842569767,0.10873605814,0.116784622093,0.459661976744,0.173724261628
20,0.172540512821,0.195797794872,0.144681,0.277380897436,0.184063871795
21,0.0858332424242,0.0815046666667,0.0655567272727,0.600693969697,0.110618363636
22,0.0955751979167,0.0833163229167,0.07456775,0.541755052083,0.12782746875
23,0.12444185124,0.110917644628,0.103568917355,0.439753479339,0.151315561983
